d,D,T,B,C,r min,r1 min,C_r,C_0r,Pu,P0,Limiting Speed Oil (rpm),Limiting Speed Grease (rpm),name,Designation,da_min,da_max,Col5,Col6,Col7,Col8,Col9,Col10,Col11,a,e,Y1,Y0,
55,80,17,17,14,1,1,45500,74500,4600,7600,4300,5600,HR 32911 J,2BC,64,60,74,73,76,4,3,1,1,14.6,0.31,1.9,1.1,
55,90,23,23,17.5,1.5,1.5,81500,117000,8300,11900,3800,5300,HR 32011 XJ,3CC,66,62,81,80,86,4,5.5,1.5,1.5,19.7,0.41,1.5,0.81,
55,90,27,27,21,1.5,1.5,91500,138000,9300,14000,3800,5300,HR 33011 J,2CE,66,62,81,80,86,5,6,1.5,1.5,19.2,0.31,1.9,1.1,
55,95,30,30,23,1.5,1.5,112000,158000,11500,16100,3800,5000,HR 33111 J,3CE,66,62,86,82,91,5,7,1.5,1.5,22.4,0.37,1.6,0.88,
55,100,22.75,21,18,2,1.5,94500,113000,9650,11500,3600,5000,HR 30211 J,3DB,67,64,91,89,94,4,4.5,2,1.5,20.9,0.41,1.5,0.81,
55,100,26.75,25,21,2,1.5,110000,137000,11200,14000,3600,5000,HR 32211 J,3DC,67,63,91,87,95,4,5.5,2,1.5,22.7,0.41,1.5,0.81,
55,100,35,35,27,2,1.5,141000,193000,14400,19700,3600,5000,HR 33211 J,3DE,67,62,91,86,96,6,8,2,1.5,25.2,0.4,1.5,0.83,
55,115,34,31,23.5,3,3,126000,164000,12800,16700,3000,4300,T J FC055,7FC,73,66,101,86,109,4,10.5,2.5,2.5,39,0.87,0.69,0.38,
55,120,31.5,29,25,2.5,2,150000,171000,15200,17500,3200,4300,HR 30311 J,2FB,70,71,110,104,111,4,6.5,2,2,24.6,0.35,1.7,0.96,
55,120,31.5,29,21,2.5,2,131000,153000,13400,15600,2800,4000,HR 30311 DJ,7FB,75,67,110,94,114,4,10.5,2,2,37,0.83,0.73,0.4,
55,120,31.5,29,21,2.5,2,131000,153000,13400,15600,2800,4000,HR 31311 J,7FB,75,67,110,94,114,4,10.5,2,2,37,0.83,0.73,0.4,
55,120,45.5,43,35,2.5,2,204000,258000,20800,26300,3200,4300,HR 32311 J,2FD,73,67,110,99,111,4,10.5,2,2,29.9,0.35,1.7,0.96,
55,120,45.5,43,35,2.5,2,195000,262000,19900,26700,3200,4300,HR 32311 GJ,5FD,73,65,110,91,112,4,10.5,2,2,35.8,0.55,1.1,0.6,
60,85,17,17,14,1,1,49000,84500,5000,8650,3800,5300,HR 32912 J,2BC,69,65,79,78,81,4,3,1,1,15.5,0.33,1.8,1,
60,95,23,23,17.5,1.5,1.5,85500,127000,8700,12900,3600,5000,HR 32012 XJ,4CC,71,66,86,85,91,4,5.5,1.5,1.5,20.9,0.43,1.4,0.77,
60,95,27,27,21,1.5,1.5,96000,150000,9800,15300,3600,5000,HR 33012 J,2CE,71,66,86,85,90,5,6,1.5,1.5,20,0.33,1.8,1,
60,100,30,30,23,1.5,1.5,115000,166000,11700,16900,3400,4800,HR 33112 J,3CE,71,68,91,88,96,5,7,1.5,1.5,23.6,0.4,1.5,0.83,
60,110,37.75,22,19,2,1.5,104000,123000,10600,12500,3400,4500,HR 30212 J,3EB,72,69,101,96,103,4,4.5,2,1.5,22,0.41,1.5,0.81,
60,110,29.75,28,24,2,1.5,131000,167000,13400,17000,3400,4500,HR 32212 J,3EC,72,68,101,95,104,4,5.5,2,1.5,24.1,0.41,1.5,0.81,
60,110,38,38,29,2,1.5,166000,231000,16900,23600,3400,4500,HR 33212 J,3EE,72,68,101,94,105,6,9,2,1.5,27.6,0.4,1.5,0.82,
60,125,37,33.5,26,3,3,151000,197000,15400,20100,2800,3800,T 7 FC060,7FC,78,72,111,94,119,4,11,2.5,2.5,41.4,0.82,0.73,0.4,
